Time (ms),y target (mm),y tip (mm)
0,-0.1679321,-0.07862438
26,-0.1679321,-0.07862438
51,-0.1683501,-0.0786144
76,-0.1683205,-0.07862908
101,-0.1685791,-0.07900505
126,-0.168686,-0.08018883
151,-0.168686,-0.08018883
176,-0.1687139,-0.08364402
201,-0.1686353,-0.08666249
226,-0.1687469,-0.08850053
251,-0.1689323,-0.09234371
276,-0.1690394,-0.09477313
301,-0.169698,-0.09707075
326,-0.170898,-0.1005766
351,-0.1719831,-0.1043364
376,-0.1736849,-0.1082188
401,-0.1779126,-0.1144667
426,-0.1779126,-0.1144667
451,-0.1804774,-0.1167835
476,-0.185208,-0.1198376
501,-0.1895923,-0.1226701
526,-0.1934384,-0.1258163
551,-0.196508,-0.1286235
576,-0.196508,-0.1286235
601,-0.1992041,-0.1300958
626,-0.2023221,-0.1342787
651,-0.2023221,-0.1342787
676,-0.2033397,-0.1366237
701,-0.2024162,-0.1377774
726,-0.2000484,-0.137616
751,-0.1947631,-0.1370465
776,-0.1873244,-0.1368677
801,-0.1825125,-0.1366785
826,-0.1825125,-0.1366785
851,-0.1713587,-0.137108
876,-0.1588775,-0.1378836
901,-0.1477931,-0.1382069
926,-0.1288274,-0.1384357
951,-0.1288274,-0.1384357
976,-0.1012962,-0.1383076
1001,-0.08412596,-0.1381799
1026,-0.06107982,-0.1378365
1051,-0.06107982,-0.1378365
1076,-0.03883298,-0.1374555
1101,-0.01211885,-0.1361141
1126,-0.01211885,-0.1361141
1151,0.009055868,-0.1342681
1176,0.03299992,-0.1325086
1201,0.03299992,-0.1325086
1226,0.04989108,-0.1297927
1251,0.06529499,-0.1276199
1276,0.0787802,-0.1254654
1301,0.08718239,-0.1239713
1326,0.0971104,-0.1217611
1351,0.1016823,-0.1205509
1376,0.1016823,-0.1205509
1401,0.1102801,-0.1179098
1426,0.1157101,-0.1157208
1451,0.1216559,-0.1125856
1476,0.1305402,-0.1064155
1501,0.1305402,-0.1064155
1526,0.1355293,-0.1024619
1551,0.1376994,-0.09955969
1576,0.1426252,-0.09245314
1601,0.1459988,-0.08500807
1626,0.1459988,-0.08500807
1651,0.1476794,-0.07804886
1676,0.1459558,-0.07194149
1701,0.1378661,-0.06460451
1726,0.1320969,-0.06049154
1751,0.1267605,-0.05518061
1776,0.1267605,-0.05518061
1801,0.1203963,-0.04921282
1826,0.1104493,-0.04096223
1851,0.1049707,-0.03726673
1877,0.09190033,-0.03068295
1901,0.09190033,-0.03068295
1926,0.05761112,-0.04025768
1951,0.05614763,-0.01768111
1976,0.04257569,-0.01570322
2001,0.02940045,-0.0143243
2026,0.02940045,-0.0143243
2051,0.05931555,0.03362658
2076,0.05634913,0.04952855
2101,-0.01931388,-0.00930111
2126,-0.01931388,-0.00930111
2151,0.02748105,0.05466551
2176,0.005411081,0.03974818
2201,0.01943886,0.06173453
2226,0.002035804,0.04954261
2251,-0.003355265,0.05052329
2276,-0.02380001,0.03617596
2301,-0.02380001,0.03617596
2326,-0.09169227,-0.02173149
2351,-0.1032994,-0.02093832
2376,-0.08079854,0.009752836
2401,-0.1208301,-0.01882125
2426,-0.1208301,-0.01882125
2451,-0.1300055,-0.0188859
2476,-0.139733,-0.0205061
2501,-0.1485699,-0.0217232
2526,-0.1485699,-0.0217232
2551,-0.156664,-0.02506134
2576,-0.1611112,-0.02873072
2601,-0.1664368,-0.03277193
2626,-0.1740848,-0.03793667
2651,-0.1740848,-0.03793667
2676,-0.1801615,-0.04416785
2701,-0.1852225,-0.04845956
2726,-0.1892618,-0.05121453
2751,-0.1938973,-0.05501696
2776,-0.195809,-0.05711771
2801,-0.1991771,-0.06211851
2826,-0.201368,-0.06717511
2851,-0.201368,-0.06717511
2876,-0.2025811,-0.07135962
2901,-0.2034246,-0.07736865
2926,-0.2034246,-0.07736865
2951,-0.2034569,-0.08341188
2976,-0.2023999,-0.08950201
3001,-0.2015947,-0.09305803
3026,-0.1993575,-0.09958
3051,-0.1967756,-0.1046072
3076,-0.1924507,-0.1103643
3101,-0.1883752,-0.1154202
3126,-0.1883752,-0.1154202
3151,0.01756787,0.07501684
3176,-0.172286,-0.1239235
3201,-0.1621867,-0.1290426
3226,-0.156582,-0.1316091
3251,0.0324557,0.0417451
3276,0.0324557,0.0417451
3301,0.005727738,0.0001228303
3326,-0.1151672,-0.1360129
3351,-0.1057345,-0.1349345
3376,-0.1057345,-0.1349345
3401,0.07029563,0.0282757
3426,0.04271143,-0.01615302
3451,-0.06742617,-0.1351041
3476,0.05809969,-0.02004804
3501,-0.04545535,-0.1351733
3526,-0.03481843,-0.1340619
3551,-0.02105031,-0.1335225
3576,-0.01154085,-0.1335652
3601,0.0002852045,-0.1340691
3626,0.0002852045,-0.1340691
3651,0.01210643,-0.1334159
3676,0.02062659,-0.1318684
3701,0.02805438,-0.1293591
3726,0.03821963,-0.1259792
3751,0.04701179,-0.1227371
3776,0.05762635,-0.1193956
3801,0.05762635,-0.1193956
3826,0.06719138,-0.1176017
3851,0.07454187,-0.1166489
3876,0.08292443,-0.1147356
3901,0.09142292,-0.1116405
3926,0.09142292,-0.1116405
3951,0.09768489,-0.1086108
